Date,High,Low,Open,Close,Volume,Adj Close,Return
12/31/2018,635,615,615,615,6560,615,
1/2/2019,623,615,615,615,3265,615,0
1/3/2019,616,606,606,606,7471,606,-0.014634146
1/4/2019,2.029999971,2.029999971,2.029999971,2.029999971,5000,2.029999971,-0.996650165
1/7/2019,612,596,600,600,3465,600,294.5665066
1/8/2019,608,600,603,603,2777,603,0.005
1/9/2019,610,597,605,605,4415,605,0.00331675
1/10/2019,610,602,608,608,12060,608,0.004958678
1/11/2019,1.919999957,1.919999957,1.919999957,1.919999957,0,1.919999957,-0.996842105
1/14/2019,593,585,590,590,2299,590,306.2916735
1/15/2019,592,587,592,592,1839,592,0.003389831
1/16/2019,599,590,594,594,2390,594,0.003378378
1/17/2019,599,589,589,589,5909,589,-0.008417508
1/18/2019,1.620000005,1.610000014,1.620000005,1.610000014,3059,1.610000014,-0.997266553
1/22/2019,580,565,575,575,3794,575,356.142854
1/23/2019,576,565,570,570,11499,570,-0.008695652
1/24/2019,573,560,567,567,5178,567,-0.005263158
1/25/2019,1.649999976,1.649999976,1.649999976,1.649999976,1495,1.649999976,-0.997089947
1/28/2019,569,561,564,564,3900,564,340.8181868
1/29/2019,567,562,563,563,5320,563,-0.00177305
1/30/2019,565,562,562,562,4396,562,-0.001776199
1/31/2019,572,562,565,565,2462,565,0.005338078
2/1/2019,1.649999976,1.649999976,1.649999976,1.649999976,0,1.649999976,-0.997079646
2/4/2019,564,555,557,557,5934,557,336.5757625
2/5/2019,570,550,556,556,4021,556,-0.001795332
2/6/2019,560,553,556,556,3455,556,0
2/7/2019,561,555,556,556,2152,556,0
2/8/2019,1.570000052,1.570000052,1.570000052,1.570000052,1145,1.570000052,-0.997176259
2/11/2019,555,545,551,551,4352,551,349.9554023
2/12/2019,551,547,547,547,4004,547,-0.007259528
2/13/2019,555,541,542,542,4235,542,-0.009140768
2/14/2019,544,531,536,536,6255,536,-0.011070111
2/15/2019,1.549999952,1.549999952,1.549999952,1.549999952,101,1.549999952,-0.997108209
2/19/2019,540,528,534,534,1919,534,343.5161396
2/20/2019,540,530,534,534,2409,534,0
2/21/2019,540,534,534,534,7405,534,0
2/22/2019,1.50999999,1.50999999,1.50999999,1.50999999,3847,1.50999999,-0.997172285
2/25/2019,529,521,525,525,7089,525,346.6821214
2/26/2019,534,524,530,530,2402,530,0.00952381
2/27/2019,534,525,530,530,2368,530,0
2/28/2019,530,530,530,530,0,530,0
3/1/2019,1.549999952,1.549999952,1.549999952,1.549999952,0,1.549999952,-0.997075472
3/4/2019,525,525,525,525,0,525,337.7096878
3/5/2019,530,520,528,528,7650,528,0.005714286
3/6/2019,532,528,532,532,5029,532,0.007575758
3/7/2019,536,530,533,533,6406,533,0.001879699
3/8/2019,1.450000048,1.450000048,1.450000048,1.450000048,306,1.450000048,-0.99727955
3/11/2019,541,535,540,540,9615,540,371.4137809
3/12/2019,570,540,570,570,13419,570,0.055555556
3/13/2019,572,562,565,565,11866,565,-0.00877193
3/14/2019,565,565,565,565,0,565,0
3/15/2019,1.450000048,1.450000048,1.450000048,1.450000048,11,1.450000048,-0.997433628
